"Country","State","City","Timestamp(UTC)","PM2.5","PM10","CO","NO2","SO2"
"Kazakhstan","Almaty Qalasy","Almaty","2019-08-29T00:00:00.000Z",14.95,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-08-30T00:00:00.000Z",11.53,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-08-31T00:00:00.000Z",11.11,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-01T00:00:00.000Z",10.55,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-02T00:00:00.000Z",15.28,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-03T00:00:00.000Z",12.59,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-04T00:00:00.000Z",10.62,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-05T00:00:00.000Z",9.18,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-06T00:00:00.000Z",6.98,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-07T00:00:00.000Z",21.54,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-08T00:00:00.000Z",16.88,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-09T00:00:00.000Z",16.35,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-10T00:00:00.000Z",4.32,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-11T00:00:00.000Z",9.48,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-12T00:00:00.000Z",14.12,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-13T00:00:00.000Z",19.03,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-14T00:00:00.000Z",23.11,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-15T00:00:00.000Z",15.1,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-16T00:00:00.000Z",8.07,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-17T00:00:00.000Z",7.43,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-18T00:00:00.000Z",17.59,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-19T00:00:00.000Z",19.58,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-20T00:00:00.000Z",19.95,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-21T00:00:00.000Z",30.64,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-22T00:00:00.000Z",14.08,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-23T00:00:00.000Z",22.77,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-24T00:00:00.000Z",22.52,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-25T00:00:00.000Z",28.92,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-26T00:00:00.000Z",23.45,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-27T00:00:00.000Z",29.54,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-28T00:00:00.000Z",29.07,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-29T00:00:00.000Z",21.06,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-09-30T00:00:00.000Z",27.14,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-01T00:00:00.000Z",22.71,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-02T00:00:00.000Z",24.7,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-03T00:00:00.000Z",28.67,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-04T00:00:00.000Z",34.32,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-05T00:00:00.000Z",33.23,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-06T00:00:00.000Z",43.17,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-07T00:00:00.000Z",24.56,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-08T00:00:00.000Z",18.85,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-09T00:00:00.000Z",12.84,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-10T00:00:00.000Z",13.42,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-11T00:00:00.000Z",14.42,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-12T00:00:00.000Z",28.89,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-13T00:00:00.000Z",39.86,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-14T00:00:00.000Z",20.18,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-15T00:00:00.000Z",17.08,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-16T00:00:00.000Z",34.43,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-17T00:00:00.000Z",12.82,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-18T00:00:00.000Z",34.06,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-19T00:00:00.000Z",41.89,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-20T00:00:00.000Z",26.61,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-21T00:00:00.000Z",17.96,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-22T00:00:00.000Z",53.34,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-23T00:00:00.000Z",55.45,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-24T00:00:00.000Z",27.99,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-25T00:00:00.000Z",40.97,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-26T00:00:00.000Z",48.47,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-27T00:00:00.000Z",52.15,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-28T00:00:00.000Z",25.06,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-29T00:00:00.000Z",51.94,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-30T00:00:00.000Z",66.52,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-10-31T00:00:00.000Z",35.06,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-01T00:00:00.000Z",57.92,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-02T00:00:00.000Z",55.52,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-03T00:00:00.000Z",73.86,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-04T00:00:00.000Z",22.46,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-05T00:00:00.000Z",17.79,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-06T00:00:00.000Z",40.13,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-07T00:00:00.000Z",52.4,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-08T00:00:00.000Z",113.8,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-09T00:00:00.000Z",72.66,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-10T00:00:00.000Z",31.58,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-11T00:00:00.000Z",30.3,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-12T00:00:00.000Z",76.99,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-13T00:00:00.000Z",69.88,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-14T00:00:00.000Z",65.86,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-15T00:00:00.000Z",43.1,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-16T00:00:00.000Z",66.3,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-17T00:00:00.000Z",106.38,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-18T00:00:00.000Z",80.73,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-19T00:00:00.000Z",34.3,,,,
"Kazakhstan","Almaty Qalasy","Almaty","2019-11-20T00:00:00.000Z",50.7,,,,
